url_core,insularity_media,N_url,max_party,N_party,rel_party
franceculture,0.331581643664197,223,Misc.,21,0.00131414267834793
legifrance,0.318788042859986,199,PS,16,0.00108042406644608
senat,0.316450276130336,76,UDI,2,0.000618046971569839
lexpress,0.314433343905416,620,RN,21,0.00664556962025316
lemonde,0.310791453107249,5810,PCF,195,0.0538674033149171
capital,0.307374171985067,264,RN,11,0.00348101265822785
la-croix,0.302269090659399,479,MoDem,49,0.00287171071909981
challenges,0.295861131644132,454,LREM,347,0.00250189264212841
publicsenat,0.282673967804982,222,UDI,7,0.00216316440049444
lesechos,0.279206063331015,2343,LREM,1648,0.0118821875337972
bfmtv,0.26374125050573,2015,RN,79,0.025
google,0.260570003299273,689,Misc.,71,0.00444305381727159
assemblee-nationale,0.259170002364388,5126,MoDem,627,0.0367461759362363
francebleu,0.256827187019599,1389,UDI,39,0.0120519159456119
latribune,0.240457754405343,488,Agir,12,0.00368890255149093
boursorama,0.237360484489316,108,RN,3,0.000949367088607595
lci,0.232428249801498,482,UDI,13,0.00401730531520396
franceinter,0.216524921002225,642,Misc.,68,0.00425531914893617
twitter,0.213634788087283,80840,Agir,1534,0.471564709498924
nouvelobs,0.198590706348963,890,UDI,20,0.00618046971569839
lejdd,0.184696770634712,1861,Agir,33,0.0101444820166001
europe1,0.176652158624406,1166,RN,22,0.0069620253164557
francetvinfo,0.174440059301249,4416,RN,113,0.0357594936708861
