url_core,insularity_media,N_url,max_party,N_party,rel_party
ilfriuli,0.947746412336961,96,FI,90,0.00313687218988533
primaonline,0.938041272562327,66,IV,53,0.00306979438169707
ilmanifesto,0.934230240696365,77,Misc.,51,0.0035744322960471
umbriaon,0.932038474850345,99,FI,86,0.00299745564811265
forzaitalia,0.930737717779918,52,FI,46,0.00160329023038584
economyup,0.930565399950324,102,FI,73,0.00254435188735143
secoloditalia,0.928990493223704,561,FdI,444,0.0333884794705971
politicheagricole,0.927618467367888,90,PD,78,0.00236120360840346
24emilia,0.925119121984934,103,FI,88,0.00306716391899899
tumblr,0.922532804924098,62,Misc.,42,0.00294365012615643
articolo1mdp,0.921954340338036,187,Misc.,138,0.00967199327165686
matteorenzi,0.914565526412615,214,IV,134,0.00776136692730959
lantidiplomatico,0.91228424496252,60,M5S,57,0.000622556193888027
benecomune,0.908947455438,67,M5S,59,0.000644400270866555
forzaitalia-pdl,0.903009540499627,59,FI,49,0.00170785263671535
twitlonger,0.898504415437582,73,LN,62,0.00216813540355294
startupitalia,0.880626719632486,586,M5S,559,0.00610541951549837
newspam,0.879795185873998,58,FI,49,0.00170785263671535
deputatipd,0.8765832425554,665,PD,518,0.0156808137070897
washingtonpost,0.873263810685442,104,PD,87,0.00263365017860386
forzaitaliaveneto,0.863970832266568,94,FI,70,0.00243978948102192
crowdfireapp,0.863243418150593,59,FdI,31,0.00233117762069484
partitodemocratico,0.863110015638726,709,PD,594,0.0179814736332264
ilriformista,0.858848138463304,244,FI,185,0.00644801505698651
beniculturali,0.85491056829885,76,PD,46,0.00139250469213538
italiachiamaitalia,0.842544529484632,58,Misc.,35,0.00245304177179703
ecodibergamo,0.837709237436134,226,LN,166,0.00580500769338369
anci,0.831811493578752,68,FI,57,0.00198668572026071
istruzione,0.829394575425905,60,IV,35,0.0020272227048943
corrieredellacalabria,0.825799897881672,301,PD,150,0.00454077617000666
mef,0.823159398813181,118,PD,89,0.00269419386087062
campaign-archive,0.803382389653527,114,PD,76,0.00230065992613671
bergamonews,0.801285545545973,271,LN,171,0.00597985732270248
veronasera,0.799169624366207,68,M5S,58,0.000633478232377291
democratica,0.791211488718063,234,PD,154,0.00466186353454017
arezzonotizie,0.78699380243129,91,M5S,83,0.000906529194608882
larena,0.783827604390994,59,LN,23,0.000804308294866415
varesenews,0.783823583909436,60,IV,34,0.00196930205618303
aise,0.777995053317354,485,PD,369,0.0111703093782164
senatoripd,0.761798586528496,331,IV,106,0.00613958876339415
unita,0.761055168451714,249,PD,175,0.0052975721983411
economist,0.759752255647089,86,PD,58,0.00175576678573591
loccidentale,0.758379091610482,73,Misc.,43,0.00301373703392206
agenziastampaitalia,0.756662705945673,58,LN,29,0.00101412785004896
weforum,0.755323539444257,110,Misc.,33,0.00231286795626577
tecnicadellascuola,0.753118706950772,55,IV,25,0.00144801621778164
feedburner,0.745029077188741,51,Misc.,8,0.000560695262125035
agcult,0.743830172173133,120,FdI,33,0.0024815761768687
youdem,0.743004270853141,128,PD,84,0.00254283465520373
ilgiornaleditalia,0.742336425475306,70,LN,37,0.00129388725695902
primocanale,0.739823414990554,60,Misc.,19,0.00133165124754696
europa,0.730074377599657,408,PD,252,0.00762850396561119
bbc,0.718940687912172,90,Misc.,31,0.00217269414073451
mailchi,0.718130585907819,199,PD,122,0.00369316461827208
globalist,0.714627400793696,476,IV,180,0.0104257167680278
mit,0.713761217290855,84,PD,25,0.000756796028334443
businessinsider,0.704489411881273,196,M5S,175,0.00191135673562114
abruzzoweb,0.70093375406686,93,LN,55,0.00192334592250664
