K,party_short,gini
20,S,0.0971941222054333
20,RV,0.0952181481759506
20,KF,0.179400685301853
20,V,0.0993432184142089
20,EL,0.105048798067262
20,SF,0.138743289010427
20,DF,0.200973288247554
20,UFG,0.21263512439364
20,LA,0.270995120190158
25,S,0.0891911167081737
25,RV,0.102396498192808
25,KF,0.17370986235886
25,V,0.114995605860941
25,EL,0.110675792357562
25,SF,0.150981156609241
25,DF,0.198395770553031
25,UFG,0.202047749015229
25,LA,0.24581327968193
30,S,0.0984034510699252
30,RV,0.102899355118766
30,KF,0.183035073293693
30,V,0.102881845016727
30,EL,0.10806284038841
30,SF,0.138320656250415
30,DF,0.183992524518873
30,UFG,0.212443075607436
30,LA,0.261892301648228
35,S,0.0950739017819657
35,RV,0.115337252684955
35,KF,0.199850538349291
35,V,0.11090148426346
35,EL,0.112368922184755
35,SF,0.152258162498075
35,DF,0.208160297558039
35,UFG,0.206628108479406
35,LA,0.276511104133055
40,S,0.103874732107255
40,RV,0.124772367939997
40,KF,0.208365294954635
40,V,0.114701124009466
40,EL,0.115582758318379
40,SF,0.145565249673479
40,DF,0.213371055160275
40,UFG,0.197459123395754
40,LA,0.296348176665842
45,S,0.11125067410935
45,RV,0.112355626493793
45,KF,0.21557602594839
45,V,0.127110653345159
45,EL,0.116600089226345
45,SF,0.139651204087863
45,DF,0.183865913185673
45,UFG,0.200032529070893
45,LA,0.273987819552755
50,S,0.106877613175803
50,RV,0.11186792972521
50,KF,0.207533470097631
50,V,0.123465661199418
50,EL,0.131551972278833
50,SF,0.144293741981358
50,DF,0.207095329697186
50,UFG,0.217517179193316
50,LA,0.31126126955167
55,S,0.0988761625530546
55,RV,0.122009788364249
55,KF,0.206518610744669
55,V,0.127874523135119
55,EL,0.116223387493988
55,SF,0.127358883290953
55,DF,0.207273557500955
55,UFG,0.201202528709426
55,LA,0.2862040784555
60,S,0.116975314654794
60,RV,0.125918417151163
60,KF,0.199984842195593
60,V,0.12308001226359
60,EL,0.113247307453321
60,SF,0.135124925709768
60,DF,0.200163574744306
60,UFG,0.201469297384551
60,LA,0.268717323117136
65,S,0.117044739576638
65,RV,0.127078386780346
65,KF,0.223622128240463
65,V,0.133582134607791
65,EL,0.125344531579513
65,SF,0.143643594000331
65,DF,0.186758738339706
65,UFG,0.181162231782243
65,LA,0.281908858624066
70,S,0.106799391399285
70,RV,0.118024057303876
70,KF,0.221279392373028
70,V,0.123154092469381
70,EL,0.120441580535069
70,SF,0.162496754838379
70,DF,0.199980817302814
70,UFG,0.204556127837147
70,LA,0.300373701323991
75,S,0.121817802776201
75,RV,0.12379355858641
75,KF,0.21999152491914
75,V,0.144053216866215
75,EL,0.127039800197002
75,SF,0.158628372227513
75,DF,0.206169426353984
75,UFG,0.213731965908966
75,LA,0.316383708514648
