K,party_short,gini
20,D66,0.081655591572583
20,GL,0.119637265955189
20,VVD,0.103003410501742
20,PvdA,0.15870119239159
20,PVV,0.197645441036488
20,SP,0.124762221868759
20,CDA,0.111444496529147
20,FvD,0.304836475082219
20,CU,0.08856031133369
20,PvdD,0.289534077032929
20,DENK,0.288615887850499
20,50PLUS,0.216498730199071
20,SGP,0.100873573412956
25,D66,0.0786440263924559
25,GL,0.143062635786984
25,VVD,0.0789700738224082
25,PvdA,0.182714343392673
25,PVV,0.190988360169038
25,SP,0.148583156551234
25,CDA,0.0862873408377238
25,FvD,0.300444178810503
25,CU,0.0950706760550899
25,PvdD,0.276962001826885
25,DENK,0.285265631503795
25,50PLUS,0.220195014898471
25,SGP,0.163496810337702
30,D66,0.0958643141084968
30,GL,0.131670115637977
30,VVD,0.124008727871345
30,PvdA,0.191888034432004
30,PVV,0.194365178782339
30,SP,0.145751121882149
30,CDA,0.13795742585115
30,FvD,0.279923431709003
30,CU,0.122422661778418
30,PvdD,0.279179502656032
30,DENK,0.277675445339461
30,50PLUS,0.232597165380745
30,SGP,0.140698091203261
35,D66,0.0983231701213938
35,GL,0.132004736570235
35,VVD,0.117787009298728
35,PvdA,0.189517258897016
35,PVV,0.203912484082671
35,SP,0.155781490036521
35,CDA,0.123012082247851
35,FvD,0.301718776670418
35,CU,0.137491358290138
35,PvdD,0.265480048183094
35,DENK,0.295025172309054
35,50PLUS,0.228214345731534
35,SGP,0.16437766271495
40,D66,0.109933709122153
40,GL,0.138267282790214
40,VVD,0.133443981159291
40,PvdA,0.197912680004328
40,PVV,0.215981367264464
40,SP,0.154885974468465
40,CDA,0.130552219370292
40,FvD,0.320357476243143
40,CU,0.143366272862894
40,PvdD,0.289533039069186
40,DENK,0.289801513764016
40,50PLUS,0.252700424379983
40,SGP,0.194075264352771
45,D66,0.102816341338109
45,GL,0.164086557716728
45,VVD,0.139066518891389
45,PvdA,0.211637407187522
45,PVV,0.229495305923675
45,SP,0.171104049931548
45,CDA,0.132879456544518
45,FvD,0.30636707619638
45,CU,0.146729133487507
45,PvdD,0.312508129322367
45,DENK,0.300291133678757
45,50PLUS,0.249207092573956
45,SGP,0.200786255088399
50,D66,0.121842099857708
50,GL,0.146988747762038
50,VVD,0.128434723768864
50,PvdA,0.220934391521945
50,PVV,0.205558486503122
50,SP,0.175566781261429
50,CDA,0.137453114997186
50,FvD,0.299133729640794
50,CU,0.16344881716469
50,PvdD,0.2976987378802
50,DENK,0.329144686306155
50,50PLUS,0.240574557869713
50,SGP,0.188567144729135
55,D66,0.124919680643649
55,GL,0.168987883093101
55,VVD,0.138417853530413
55,PvdA,0.219111996098625
55,PVV,0.220732781119333
55,SP,0.171278057116856
55,CDA,0.146553384265338
55,FvD,0.326227868391526
55,CU,0.163029859789914
55,PvdD,0.315888757259328
55,DENK,0.307285683518592
55,50PLUS,0.252662650080575
55,SGP,0.198089403792986
60,D66,0.12210512217347
60,GL,0.165233513386969
60,VVD,0.137945969592835
60,PvdA,0.217502798557865
60,PVV,0.215640164083752
60,SP,0.18631852155021
60,CDA,0.146319341988644
60,FvD,0.304682976960446
60,CU,0.146608778435617
60,PvdD,0.308984103005346
60,DENK,0.307830761706985
60,50PLUS,0.246456993393987
60,SGP,0.217120777899839
65,D66,0.112722290873846
65,GL,0.163867179252671
65,VVD,0.138120492624979
65,PvdA,0.209689195860328
65,PVV,0.217541769827887
65,SP,0.169352392938213
65,CDA,0.155749183505568
65,FvD,0.292686160485131
65,CU,0.151802132554627
65,PvdD,0.291600199351963
65,DENK,0.306695692218129
65,50PLUS,0.247845084502586
65,SGP,0.223324004101013
70,D66,0.117951233546132
70,GL,0.174638716127267
70,VVD,0.145410487200577
70,PvdA,0.219436816598765
70,PVV,0.223335714195961
70,SP,0.172677590397219
70,CDA,0.148809106120946
70,FvD,0.290854511182977
70,CU,0.169846408481787
70,PvdD,0.303822722372049
70,DENK,0.319698486987749
70,50PLUS,0.251653428097632
70,SGP,0.203516974908736
75,D66,0.106905090483108
75,GL,0.16641317435812
75,VVD,0.134634295840734
75,PvdA,0.218519276892438
75,PVV,0.228626395514013
75,SP,0.178216550099914
75,CDA,0.150933701201456
75,FvD,0.347980295993014
75,CU,0.167572775806717
75,PvdD,0.297132134000359
75,DENK,0.310868574219918
75,50PLUS,0.261708506132012
75,SGP,0.199665354112307
