party_short,party_full,party_grouping
ÖVP,Österreichische Volkspartei,ÖVP
SPÖ,Sozialdemokratische Partei Österreichs,SPÖ
FPÖ,Freiheitliche Partei Österreichs,FPÖ
GRÜNE,Die Grünen – Die Grüne Alternative,GRÜNE
NEOS,Das Neue Österreich und Liberales Forum,NEOS
OK,ohne Klubzugehörigkeit,OK
