party_short,party_full,party_grouping
CDU,Christlich Demokratische Union Deutschlands,CDU/CSU
CSU,Christlich-Soziale Union in Bayern,CDU/CSU
SPD,Sozialdemokratische Partei Deutschlands,SPD
AfD,Alternative für Deutschland,AfD
FDP,Freie Demokratische Partei,FDP
LINKE,Die Linke,LINKE
GRÜNE,Bündnis 90/Die Grünen,GRÜNE
Parteilos,Parteilos,Misc
