party_short,gini_abs,gini_norm,gini_centered,N_urls,rel_urls,size
BDP,0.883620184990048,0.77533274406753,0.654589872629413,52,0.477064220183486,61850
CVP,0.845139125335755,0.696278419934321,0.521807310078213,83,0.761467889908257,175703
EVP,0.944904123982138,0.870977657310473,0.814419460812755,27,0.247706422018349,10474
FDP,0.85624962603961,0.656129985822715,0.511193804239016,78,0.715596330275229,100379
GLP,0.862793684149082,0.668503197271076,0.513840838493844,80,0.73394495412844,241331
GPS,0.828445747800586,0.656549214450632,0.473673211485754,86,0.788990825688074,229581
SP,0.835093301487589,0.65961442326174,0.447709213639802,94,0.862385321100918,440895
SVP,0.792139658478574,0.633405485167746,0.44838140851137,86,0.788990825688074,312680
