party_short,gini_abs,gini_norm,gini_centered,N_urls,rel_urls,size
AfD,0.925017347095389,0.763064745114984,0.624708623711247,230,0.621621621621622,3904394
CDU,0.91183155845643,0.727846735697054,0.568053430652553,254,0.686486486486487,1811696
CSU,0.969036272032544,0.850581311429133,0.779903147969721,125,0.337837837837838,187755
FDP,0.922969855046373,0.686418097205683,0.559547431941499,228,0.616216216216216,3087062
GRÜNE,0.900856674626478,0.695630307656907,0.538518497569208,252,0.681081081081081,3853689
LINKE,0.88842005397955,0.704027155092256,0.535780988525147,261,0.705405405405405,3684469
SPD,0.916184446037622,0.729133041989245,0.567475010943831,255,0.689189189189189,2657342
