K,party_short,gini
20,LINKE,0.136131039015774
20,AfD,0.241981205498586
20,GRÜNE,0.158349861251416
20,CDU,0.0857524328610564
20,FDP,0.172555137039689
20,SPD,0.113035727542173
20,CSU,0.169012586010369
25,LINKE,0.0916128293033935
25,AfD,0.219044305315897
25,GRÜNE,0.119739306679412
25,CDU,0.0980596538381153
25,FDP,0.144623156504124
25,SPD,0.102107487532674
25,CSU,0.176443571678425
30,LINKE,0.121179689434478
30,AfD,0.197258227646032
30,GRÜNE,0.0987904283212912
30,CDU,0.123843114969522
30,FDP,0.152365736767275
30,SPD,0.117242537405067
30,CSU,0.176925856814339
35,LINKE,0.172644677058833
35,AfD,0.201572336992304
35,GRÜNE,0.161349865985744
35,CDU,0.11540862466417
35,FDP,0.186572428238286
35,SPD,0.137530148764815
35,CSU,0.194410186314287
40,LINKE,0.141263619854236
40,AfD,0.231744060506319
40,GRÜNE,0.127214512505657
40,CDU,0.127241300937315
40,FDP,0.180853612858386
40,SPD,0.139460136187782
40,CSU,0.190586031209826
45,LINKE,0.192536545457955
45,AfD,0.214294606730179
45,GRÜNE,0.176322623802431
45,CDU,0.14205282996141
45,FDP,0.199562515098572
45,SPD,0.15952955125649
45,CSU,0.236685006196825
50,LINKE,0.193328921878989
50,AfD,0.231824285026588
50,GRÜNE,0.14649994579657
50,CDU,0.134232811659283
50,FDP,0.201214669974534
50,SPD,0.156008206698589
50,CSU,0.237742801079797
55,LINKE,0.186690521022509
55,AfD,0.218770381018343
55,GRÜNE,0.153327478685768
55,CDU,0.153631498375275
55,FDP,0.203428270226049
55,SPD,0.161068912094649
55,CSU,0.256410878321212
60,LINKE,0.201080728536952
60,AfD,0.212227762225326
60,GRÜNE,0.155186637804225
60,CDU,0.149548255678301
60,FDP,0.210594242559585
60,SPD,0.165858467782403
60,CSU,0.259176474633507
65,LINKE,0.208238037418405
65,AfD,0.224793784568156
65,GRÜNE,0.160697359643599
65,CDU,0.163308194256933
65,FDP,0.202992109166829
65,SPD,0.136004547371663
65,CSU,0.289987463583645
70,LINKE,0.201321682577816
70,AfD,0.251047245841232
70,GRÜNE,0.190641645745386
70,CDU,0.193809157828466
70,FDP,0.22642382798534
70,SPD,0.182425477848568
70,CSU,0.261687568939113
75,LINKE,0.192228491457656
75,AfD,0.231786208020869
75,GRÜNE,0.174986492499227
75,CDU,0.172531646728975
75,FDP,0.213826788950773
75,SPD,0.1844446221604
75,CSU,0.235174107523494
