K,url_core,gini,N_url
20,firstonline,0.631111172796082,3
20,facebook,0.192536532540893,5227
20,repubblica,0.168592426142578,1541
20,ilblogdellestelle,0.259680746346085,2459
20,deputatipd,0.366120754556514,104
20,marcosilvestroni,0.916397063733931,23
20,padovaoggi,0.396027846129175,45
20,infodifesa,0.500180007576136,3
20,ilgiornale,0.288133290855298,513
20,ilfattoquotidiano,0.299850318989438,843
20,governo,0.477960970919208,15
20,ilmessaggero,0.215375451240748,304
20,beppegrillo,0.486179081068688,118
20,partitodemocratico,0.312478618162974,131
20,change,0.279043711846602,97
20,mailchi,0.345707198472379,38
20,corriere,0.219965923372668,404
20,ansa,0.25007504339191,586
20,liberoquotidiano,0.274098050894214,115
20,mdst,0.255492111975667,37
20,agenpress,0.418233782839008,32
20,agi,0.237832168825227,102
20,bergamonews,0.455538865668666,10
20,chiarabraga,0.541400457790702,3
20,milanofinanza,0.543845989361189,27
20,giannitonelli,0.341722232766855,16
20,huffingtonpost,0.199020469730206,595
20,mariaederaspadoni,0.26526141018824,75
20,sisma2016,0.766452782191656,7
20,ilmattino,0.265173903424443,85
20,sky,0.287737353904999,61
20,fabianadadone,0.316172598683156,256
20,giorgiameloni,0.543613991670146,12
20,rainews,0.332809434556741,138
20,sicilia5stelle,0.387805069578642,20
20,acli,0.580996901730941,9
20,lercio,0.614959481457909,9
20,vita,0.340106412593739,96
20,formiche,0.352254633564066,95
20,diegozardini,0.409294455203,4
20,veronanews,0.358211934964332,9
20,rai,0.469876280318545,19
20,andreademaria,0.294394468093479,13
20,matteomauri,0.324014207118459,65
20,leftwing,0.422873695079625,42
20,gruppoforzaitalia-berlusconipresidente,0.546798900850909,6
20,mirellaliuzzi,0.337348595600707,29
20,lanazione,0.33759317097228,34
20,secoloditalia,0.296479162527598,214
20,quotidianosanita,0.48597866661011,45
20,italiaoggi,0.539632298290736,31
20,rivistastudio,0.575562781021894,1
20,quotidiano,0.333042611290357,32
20,voceapuana,0.648915057975965,2
20,tio,0.776983320266889,1
20,nextquotidiano,0.327346934307249,78
20,interno,0.504057613316772,10
20,lettera43,0.310922610045379,13
20,mediaset,0.246726457619173,136
20,camera,0.443655561684234,74
20,key4biz,0.447194363245694,27
20,corrierecomunicazioni,0.525651578253599,21
20,sanremonews,0.556806878440662,5
20,comozero,0.560326304124462,5
20,affaritaliani,0.275188599150281,219
20,pos,0.736102811411565,1
20,adnkronos,0.200840173518232,171
20,primamilanoovest,0.543663515753742,3
20,congedatifolgore,0.756560885971315,1
20,francescoboccia,0.358786919172146,93
20,vatican,0.796133545428395,3
20,ilsole24ore,0.239871768023255,301
20,veronasera,0.320465150618937,26
20,agvilvelino,0.655313246746627,6
20,ambientebio,0.590557852600184,3
20,agenzianova,0.306870375623468,23
20,frosinoneweb,0.854627058442684,1
20,ilgiornaledivicenza,0.469273023963077,3
20,ligurianotizie,0.724890742802863,2
20,gazzetta,0.452516739942762,19
20,ilfoglio,0.306444075923771,109
20,askanews,0.262093615593116,50
20,generosomaraia,0.397698918303578,53
20,canale58,0.870714533718721,2
20,castedduonline,0.549556102137236,4
20,tgpadova,0.667486489413528,4
20,tecnicadellascuola,0.475007163482766,14
20,francescabusinarolo,0.383042481044831,8
20,ilgazzettino,0.343527295509516,48
20,ilpopulista,0.284364249755001,41
20,matteoorfini,0.598775204183779,11
20,lapresse,0.556379970811674,7
20,patriziaterzoni,0.522705463586367,8
20,fabriziocecchetti,0.789758299168303,1
20,difesaonline,0.745549987144168,3
20,eurodeputatipd,0.597944317125227,5
20,claudiocominardi,0.34272052463001,123
20,elpais,0.781406231929229,3
20,vialamenzogna,0.882725447018296,3
20,publicpolicy,0.410172816307011,22
20,trasporti-italia,0.7954924558129,1
20,leggo,0.389411516250695,43
20,linchiestaquotidiano,0.528135264912837,4
20,webradioiuslaw,0.789555843137424,1
20,goo,0.239252075295532,35
20,today,0.24200695808169,23
20,avvenire,0.435268735971428,16
20,cronachemaceratesi,0.364154347849831,9
20,romadailynews,0.602341761771177,3
20,goofynomics,0.611680810560785,18
20,triesteprima,0.462472560657322,3
20,libertaeguale,0.561997908105041,6
20,iltempo,0.273524598725678,62
20,marcelloveneziani,0.580140956271532,6
20,nicolapellicani,0.376192715783967,16
20,gianfrancolibrandi,0.351032365278168,22
20,redacon,0.737014958823078,1
20,veneziatoday,0.504434206059068,4
20,la7,0.228659167045443,91
20,lanotiziagiornale,0.300168771591798,35
20,medium,0.469853917087515,8
20,ilsecoloxix,0.40847236024294,21
20,agcult,0.499356424732526,15
20,telegraph,0.968908008001745,6
20,santegidio,0.732373586814608,4
20,radioradicale,0.487604448368407,20
20,efanews,0.842219144819226,1
20,startupitalia,0.50556502114327,85
20,tiscali,0.298130868618915,25
20,agenziastampaitalia,0.45598669503656,8
20,blastingnews,0.506193144192451,8
20,giornaledibrescia,0.632316371618887,3
20,ilsudonline,0.799076080896312,1
20,cmnews,0.754656885048255,4
20,umbriaon,0.457309178678142,11
20,novetv,0.605987688922176,2
20,bit,0.226354006655003,43
20,mit,0.58382755864861,17
20,laverita,0.448597968348015,6
20,gianlucarizzo,0.715502159339705,1
20,osservatoreitalia,0.478951296748261,3
20,wradio,0.849184774899731,1
20,miur,0.679616000488186,21
20,fisdir,0.90777913568114,1
20,oggiscienza,0.790371367301656,1
20,difesa,0.57851290833572,4
20,rogerdemenech,0.554415161856488,3
20,wired,0.275410238929311,41
20,ottopagine,0.351317336499942,12
20,inuovivespri,0.736799528037415,1
20,4live,0.723563917266393,1
20,matteorenzi,0.471375406740224,116
