party_short,col
50PLUS,#9752e2
CDA,#68A498
CU,#009EE0
D66,#64A12D
DENK,#40E0D0
FvD,#5B3A29
GL,#00FF00
PvdA,#E3000F
PvdD,#008800
PVV,#2B2C7C
SGP,#EE7F00
SP,#BE3075
VVD,#4169e1
