party_short,party_full,party_grouping
VVD,The People's Party for Freedom and Democracy,VVD
PVV,The Party for Freedom,PVV
D66,Democrats 66,D66
CDA,The Christian Democratic Appeal,CDA
SP,The Socialist Party,SP
GL,GroenLinks,GL
PvdA,The Labour Party,PvdA
CU,The Christian Union,Misc
50PLUS,The 50PLUS,Misc
PvdD,The Party for the Animals,Misc
SGP,The Reformed Political Party,Misc
DENK,Denk,Misc
FvD,Forum for Democracy,Misc
vKA,vKA,Misc
Van Haga,Groep-Van Haga,Misc
