party_short,topic,Score
EVP,T18.ahv,0.0509150090723575
GLP,T19.franken,0.510008467810121
FDP,T19.franken,0.511929347775672
SP,T19.franken,0.564452981976106
SVP,T19.franken,0.514051648284714
GPS,T19.franken,0.513717706678889
CVP,T19.franken,0.526753301412383
BDP,T19.franken,0.258800736991309
EVP,T19.franken,0.113891631505612
GLP,T20.initiative,0.513593263641491
FDP,T20.initiative,0.539856734031178
SP,T20.initiative,0.485544692878886
SVP,T20.initiative,0.506465554209574
GPS,T20.initiative,0.500705608211255
CVP,T20.initiative,0.360344507981018
BDP,T20.initiative,0.527956632975351
EVP,T20.initiative,0.4454884545893
GLP,T21.sei,0.340471227126647
FDP,T21.sei,0.398216150516684
SP,T21.sei,0.505036215969802
SVP,T21.sei,0.587329135820999
GPS,T21.sei,0.50926538630956
CVP,T21.sei,0.519128890469735
BDP,T21.sei,0.28966003737772
EVP,T21.sei,0.500696944552273
GLP,T22.strom,0.562437080658196
FDP,T22.strom,0.364049521552687
SP,T22.strom,0.503344242314743
SVP,T22.strom,0.201834076185318
GPS,T22.strom,0.564945422394042
CVP,T22.strom,0.509805983578386
BDP,T22.strom,0.533851844458459
EVP,T22.strom,0.0390398150313854
GLP,T23.fdp,0.392144193564453
FDP,T23.fdp,0.549625780952086
SP,T23.fdp,0.495238454065982
SVP,T23.fdp,0.416736194948858
GPS,T23.fdp,0.500077504386054
CVP,T23.fdp,0.523136515824322
BDP,T23.fdp,0.536950899839233
EVP,T23.fdp,0.31755554940714
GLP,T24.bundesrat,0.489788477218262
FDP,T24.bundesrat,0.345265349561666
SP,T24.bundesrat,0.510099224826263
SVP,T24.bundesrat,0.262811111187701
GPS,T24.bundesrat,0.556003599714819
CVP,T24.bundesrat,0.459982551783994
BDP,T24.bundesrat,0.532923930060114
EVP,T24.bundesrat,0.51874230917985
GLP,T25.immer,0.414767559133892
FDP,T25.immer,0.505240401776401
SP,T25.immer,0.508077556791685
SVP,T25.immer,0.521111459746149
GPS,T25.immer,0.500952377795262
CVP,T25.immer,0.518167467306011
BDP,T25.immer,0.504761761518292
EVP,T25.immer,0.514843030174463
GLP,T26.kinder,0.356643834493543
FDP,T26.kinder,0.440242746157575
SP,T26.kinder,0.513862221958993
SVP,T26.kinder,0.524933641360407
GPS,T26.kinder,0.309149761772255
CVP,T26.kinder,0.524343164740361
BDP,T26.kinder,0.339976108749296
EVP,T26.kinder,0.568609415543655
GLP,T27.coronavirus,0.38035164017839
FDP,T27.coronavirus,0.515355740877236
SP,T27.coronavirus,0.486339617867771
SVP,T27.coronavirus,0.518717962424627
GPS,T27.coronavirus,0.521590786200517
CVP,T27.coronavirus,0.56555955703215
BDP,T27.coronavirus,0.158138790528865
EVP,T27.coronavirus,0.500672197393591
GLP,T28.frauen,0.325385437689141
FDP,T28.frauen,0.35792052807196
SP,T28.frauen,0.544362632930493
SVP,T28.frauen,0.365975173314344
GPS,T28.frauen,0.410379995385658
CVP,T28.frauen,0.509320448900416
BDP,T28.frauen,0.527989341031107
EVP,T28.frauen,0.548369935330346
GLP,T29.für,0.599877762421652
FDP,T29.für,0.43658717758121
SP,T29.für,0.423961122714278
SVP,T29.für,0.180895230758518
GPS,T29.für,0.593793649800253
CVP,T29.für,0.447310208821542
BDP,T29.für,0.359171325897625
EVP,T29.für,0.102703636451582
GLP,T30.usa,0.471038880533522
FDP,T30.usa,0.503512946685914
SP,T30.usa,0.513849279046417
SVP,T30.usa,0.555201387946073
GPS,T30.usa,0.525719334061694
CVP,T30.usa,0.511040665042015
BDP,T30.usa,0.507403546225795
EVP,T30.usa,0.0951438474032233
