party_short,topic,Score
PsdeG-PSOE,T10.ley,0.333035610073261
JxCat-JUNTS,T10.ley,0.524284455671414
ECP-GUAYEM EL CANVI,T10.ley,0.229045234649169
EAJ-PNV,T10.ley,0.519765106749264
ERC-CATSÍ,T10.ley,0.402046166989533
EH Bildu,T10.ley,0.513214407035932
VOX,T11.galicia,0.0913740039028552
UP,T11.galicia,0.230110452819737
PSOE,T11.galicia,0.255564461451662
Cs,T11.galicia,0.131845390507425
PP,T11.galicia,0.502244287878218
PSC-PSOE,T11.galicia,0.0933906088192278
ERC-S,T11.galicia,0.164126450274741
PsdeG-PSOE,T11.galicia,0.847059574106827
JxCat-JUNTS,T11.galicia,0.0705683010048361
ECP-GUAYEM EL CANVI,T11.galicia,0.166990520688326
EAJ-PNV,T11.galicia,0.0333578962143226
ERC-CATSÍ,T11.galicia,0.0909272112101108
EH Bildu,T11.galicia,0.130794497301178
VOX,T12.sanidad,0.516856233217895
UP,T12.sanidad,0.484686021346206
PSOE,T12.sanidad,0.504362009074746
Cs,T12.sanidad,0.513605688120217
PP,T12.sanidad,0.533941032818743
PSC-PSOE,T12.sanidad,0.505770701229283
ERC-S,T12.sanidad,0.452154510898888
PsdeG-PSOE,T12.sanidad,0.568940513006734
JxCat-JUNTS,T12.sanidad,0.275833777136559
ECP-GUAYEM EL CANVI,T12.sanidad,0.239024790512748
EAJ-PNV,T12.sanidad,0.0554503347543419
ERC-CATSÍ,T12.sanidad,0.130311480661644
EH Bildu,T12.sanidad,0.497348777610586
VOX,T13.años,0.502517321268038
UP,T13.años,0.504517670390613
PSOE,T13.años,0.513376052554498
Cs,T13.años,0.420898640656016
PP,T13.años,0.503019157027855
PSC-PSOE,T13.años,0.508330438580154
ERC-S,T13.años,0.494690398564421
PsdeG-PSOE,T13.años,0.504918840359408
JxCat-JUNTS,T13.años,0.380378307606041
ECP-GUAYEM EL CANVI,T13.años,0.532604464311417
EAJ-PNV,T13.años,0.455288038072664
ERC-CATSÍ,T13.años,0.502900964768663
EH Bildu,T13.años,0.310340794712448
VOX,T14.euros,0.418852078818123
UP,T14.euros,0.54026779922879
PSOE,T14.euros,0.500488123128807
Cs,T14.euros,0.382937019893905
PP,T14.euros,0.423163387768145
PSC-PSOE,T14.euros,0.374941272214213
ERC-S,T14.euros,0.508911159977025
PsdeG-PSOE,T14.euros,0.297140794975182
JxCat-JUNTS,T14.euros,0.52127535832148
ECP-GUAYEM EL CANVI,T14.euros,0.488527216714717
EAJ-PNV,T14.euros,0.0976196815187453
ERC-CATSÍ,T14.euros,0.520486085241294
EH Bildu,T14.euros,0.525249823956217
VOX,T15.europea,0.406894911784976
UP,T15.europea,0.431110765814851
PSOE,T15.europea,0.524712263596987
Cs,T15.europea,0.519708285052522
PP,T15.europea,0.400872550530019
PSC-PSOE,T15.europea,0.514101318379802
ERC-S,T15.europea,0.492739800648223
PsdeG-PSOE,T15.europea,0.526932897846916
JxCat-JUNTS,T15.europea,0.343761197666419
ECP-GUAYEM EL CANVI,T15.europea,0.509528703276078
EAJ-PNV,T15.europea,0.391736902796378
ERC-CATSÍ,T15.europea,0.513684182169343
EH Bildu,T15.europea,0.12020441657771
VOX,T16.ciudad,0.384962224796179
UP,T16.ciudad,0.524808782700729
PSOE,T16.ciudad,0.528183507934788
Cs,T16.ciudad,0.357349958465886
