Country,source_country,topic_country,party_short,source,source_rel,topic,topic_rel,N_urls,rel_urls,size,size_rel
Austria,0.420933356238954,0.191705146902606,FPÖ,0.417972773816485,-0.00296058242246938,0.201859100201381,0.0101539532987746,35,0.875,120137,0.199222260915709
Austria,0.420933356238954,0.191705146902606,GRÜNE,0.432610518332546,0.0116771620935916,0.12447770058572,-0.0672274463168858,36,0.9,122385,0.202950101984976
Austria,0.420933356238954,0.191705146902606,NEOS,0.374739924206478,-0.0461934320324764,0.160051916130992,-0.031653230771614,35,0.875,178834,0.296559043497007
Austria,0.420933356238954,0.191705146902606,SPÖ,0.414610831359935,-0.00632252487901941,0.178364350157393,-0.0133407967452129,35,0.875,166417,0.275968028124637
Austria,0.420933356238954,0.191705146902606,ÖVP,0.464732733479328,0.0437993772403736,0.293772667437544,0.102067520534938,32,0.8,15257,0.0253005654776711
Denmark,0.492112375344599,0.165794419208535,DF,0.443068927778637,-0.049043447565962,0.199683357763533,0.0338889385549984,55,0.846153846153846,260566,0.106999572110121
Denmark,0.492112375344599,0.165794419208535,EL,0.461441973347888,-0.030670401996711,0.11684898167337,-0.0489454375351648,54,0.830769230769231,352207,0.144631296079264
Denmark,0.492112375344599,0.165794419208535,KF,0.564233828180963,0.072121452836364,0.20323895406477,0.0374445348562358,40,0.615384615384615,90676,0.0372354535920164
Denmark,0.492112375344599,0.165794419208535,LA,0.614821297194265,0.122708921849666,0.282533061788248,0.116738642579714,30,0.461538461538462,13827,0.00567795907204565
Denmark,0.492112375344599,0.165794419208535,RV,0.502561047192906,0.0104486718483069,0.115139282209794,-0.0506551369987411,50,0.769230769230769,281555,0.115618555473336
Denmark,0.492112375344599,0.165794419208535,S,0.377680603995052,-0.114431771349547,0.10528158517649,-0.0605128340320448,55,0.846153846153846,527994,0.216816975648056
Denmark,0.492112375344599,0.165794419208535,SF,0.48640588913324,-0.005706486211359,0.144755499181483,-0.0210389200270512,46,0.707692307692308,310425,0.127473815356894
Denmark,0.492112375344599,0.165794419208535,UFG,0.564535206850403,0.072422831505804,0.204240420064834,0.0384460008562992,43,0.661538461538462,173712,0.0713335955972513
Denmark,0.492112375344599,0.165794419208535,V,0.414262604428037,-0.077849770916562,0.12042863095429,-0.045365788254245,56,0.861538461538462,424244,0.174212777071016
France,0.662567333936185,0.13599202040409,Agir,0.738721796640504,0.0761544627043194,0.128387165704089,-0.00760485470000086,107,0.342948717948718,195596,0.0173561468991846
France,0.662567333936185,0.13599202040409,DVG,0.794995613538693,0.132428279602508,0.266833480459659,0.130841460055569,100,0.320512820512821,162540,0.014422933582453
France,0.662567333936185,0.13599202040409,FI,0.706204771121077,0.0436374371848924,0.133446767707648,-0.00254525269644193,139,0.445512820512821,1003006,0.0890014083967136
France,0.662567333936185,0.13599202040409,LR,0.576463047956685,-0.0861042859794996,0.114152888576682,-0.0218391318274083,208,0.666666666666667,1558257,0.138271423744262
France,0.662567333936185,0.13599202040409,LREM,0.418536937418727,-0.244030396517458,0.0720693660743188,-0.0639226543297712,266,0.852564102564103,6280212,0.557272551739413
France,0.662567333936185,0.13599202040409,MoDem,0.537947692208037,-0.124619641728148,0.0822902436396418,-0.0537017767644482,194,0.621794871794872,587906,0.0521676460608195
France,0.662567333936185,0.13599202040409,PCF,0.757354475946567,0.0947871420103824,0.156921826511125,0.0209298061070347,103,0.330128205128205,248321,0.0220346824789486
