party_short,gini_abs,gini_norm,gini_centered,N_urls,rel_urls,size
Agir,0.956550360650039,0.819613813963392,0.738721796640504,107,0.342948717948718,195596
DVG,0.965858900356341,0.865996138269388,0.794995613538693,100,0.320512820512821,162540
FI,0.94908483799159,0.825029073303627,0.706204771121077,139,0.445512820512821,1003006
LR,0.908174405651842,0.759989687962245,0.576463047956685,208,0.666666666666667,1558257
LREM,0.865922662546457,0.643774705476129,0.418536937418727,266,0.852564102564103,6280212
MoDem,0.897338571480578,0.712836916390819,0.537947692208037,194,0.621794871794872,587906
PCF,0.941009461183392,0.840208926459618,0.757354475946567,103,0.330128205128205,248321
PS,0.915923919849644,0.787734334132667,0.624491379746964,175,0.560897435897436,740355
RN,0.93489022600983,0.863016401910214,0.779133628272451,93,0.298076923076923,331636
UDI,0.926788943948805,0.795539396659425,0.691823996512141,121,0.387820512820513,161723
