"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"23","miljøminister","igen","hjem","boligområder","måske","tilbagekalde","ankestyrelsen","siden","were","enhedslisten","rasmussen","økonomisk","køre","vores","sager","nægter","kofod","sundhedsordfører","skabe","kan","socialdemokraterne","lars","udbytteskat","derfor","måtte","statslige","partiet","undervisningen","espersen","folk"
"24","naturfredningsforening","serum","forsvaret","borgmester","skole","cookiedeklarationen","mennesker","fik","which","socialdemokratiets","kristian","lund","dsb","modtage","folketingets","liggende","grænsen","personale","løsninger","lønmodtagere","socialdemokratiets","gas","familier","politisk","berlingske","millioner","årligt","friskoler","partier","kultur"
"25","økologisk","italien","højesteret","byen","mennesker","enhedsspecifikke","millioner","bedste","had","regeringens","faldet","justitsministeren","rejser","dit","regeringen","brødre","europaparlamentet","thyra","globale","ordningen","vælgerne","klimaordfører","uddannelsesloftet","gøre","spørgsmål","medarbejderne","radikale","pernille","stemmer","medier"
"26","procent","åbner","internationale","odense","siger","ipnummer","psykisk","første","his","sagde","ifølge","indsatte","lokale","kan","samrådet","facebook","samarbejde","ellen","bidrage","dansk","partier","ton","banker","hele","torsdag","offentlig","finansordfører","undervisningsministeriet","imod","politi"
"27","miljøordfører","institut","dømt","lige","gerne","tredjeparters","indsats","kommentarer","our","statsministeren","overtog","forslaget","ole","navn","politisk","hals","fælles","andersen","bedre","dagpenge","jørgensen","reduktion","kontanthjælpsloft","tage","henrik","kommuner","mere","børne","pernille","personer"
"28","kvælstof","siger","lande","steder","livet","websiden","sociale","mest","one","partierne","frem","aftale","skibby","esbjerg","ministerens","fodboldkamp","grænsekontrollen","bedre","fremme","europols","siger","radikale","hvidvask","skabe","nogen","ledelse","finanslov","rosenkrantztheil","medlem","jøder"
"29","forskerne","statens","kvoteflygtninge","billige","gøre","wwwberlingskedk","kommunens","død","would","udlændingepolitik","jensen","peberspray","kan","jvdk","rapport","hagekors","land","sygehuse","dansk","tidligere","vælgere","reducere","ahlers","fælles","morgen","anders","velfærd","kommunerne","venstre","københavns"
"30","landbrugets","maj","sag","aarhus","sammen","trafikken","handicappede","sagde","can","partiet","færre","kan","procent","avisen","blevet","nordskoven","polen","kirsten","danmarks","arbejdsmarkedets","borgerlige","elbiler","integrationsydelse","uden","interview","pengene","enhedslisten","undervisningsordfører","dyhr","danske"
"31","miljøstyrelsen","restauranter","iran","fortæller","bedre","forbedre","kommunale","usas","about","enige","universitet","tryghed","borgmester","afgiften","miljø","matchfixing","norge","normann","strøm","tilbagetrækning","helle","ryge","selskab","lige","fandt","regeringen","folkeparti","merete","partiets","blevet"
"32","lea","komme","landet","elbiler","uddannelse","data","organisationer","kom","also","tesfaye","stigning","hjælpepakker","mulighed","kronborg","fejl","skoven","regering","trane","største","mennesker","socialdemokratiske","klimamål","ifølge","igen","nielsen","foa","finansiering","elev","martin","synes"
"33","økologiske","corona","myndigheder","området","tid","bruges","sikre","danmark","when","politiske","forbrug","derfor","toget","fyensdk","undersøgelse","benet","siger","nørby","och","danskere","formand","cigaretter","forskningsminister","demokrati","frank","mia","betaler","siger","forslaget","dansk"
"34","millioner","smitten","irak","områder","tage","via","hjælpe","lige","new","udlændingepolitikken","udviklingen","reglerne","passagerer","dyr","loven","arrangerer","migration","sundheds","infrastruktur","arbejder","politisk","udledningen","betalt","desværre","gjorde","siger","finansiere","riisager","alternativet","københavn"
"35","produktion","symptomer","udlændingeordfører","landet","årige","ansvarlig","borgeren","historie","than","mattias","claus","lønkompensation","pihl","christian","information","hvorfor","bruxelles","sygdom","pct","beskæftigelsesordfører","partiets","afgifter","siger","fordi","rasmussen","dong","foreslår","minimumsnormeringer","folketingets","jødiske"
"36","viser","danskere","dom","omkring","tror","finder","familier","hus","trump","valget","cheføkonom","mener","aftalen","pvc","universitet","overlagt","franske","tid","inden","model","mandater","inden","uddannelser","brug","mandag","virksomheden","afgifter","mark","nye","seksuelle"
"37","miljøet","grænsen","tyrkiske","ligger","rigtig","gør","ikkevestlige","politiken","she","kommer","mads","domstolene","landet","sansende","tro","straffet","landene","kommuner","store","seniorpension","valgkampen","klimaloven","udenlandske","hvordan","skete","direktør","pct","enkelte","politik","skriver"
"38","danmarks","sundhedsmyndighederne","retten","hovedstaden","voksne","rådighedsbeløbet","kroner","tilbage","what","folkepartis","kroner","straf","erhvervsminister","anders","politiske","indrømmet","brexit","sygehus","bæredygtig","chauffører","enhedslisten","morten","skriver","gør","fundet","regioner","bruge","gymnasiet","olsen","pia"
"39","affald","samfundet","familiesammenføring","gerne","børnenes","ved","indenrigsminister","igen","energy","sjælsmark","økonomien","straffen","kollektive","ftalater","flertal","dræbtes","østrig","psykiatrien","indsats","uddannelse","rød","østergaard","gratis","handler","løkke","kommunernes","får","flere","stemme","sige"
"40","wermelin","vaccine","udlændingestyrelsen","aalborg","oplever","vores","får","amerikansk","other","formand","lundby","sikre","kulturminister","væsener","kommissionen","snyder","briterne","landets","fokus","poulsen","valgkamp","partier","morten","ganske","ifølge","arbejdstid","milliard","lærer","christiansborg","trusler"
"41","havbrug","turister","statsborger","købe","hvordan","giver","mio","krig","world","allerede","hansen","foreslår","trafik","bevægelse","forløbet","podcasts","december","kan","vores","danske","uffe","christian","viser","ulighed","forsøgt","kommunale","mio","folkeskole","poulsen","racisme"
"42","rapporten","dage","kriminelle","procent","familie","månedsløn","borgerne","kampen","now","komme","saldo","brug","public","gerne","styrelsen","sort","hongkong","sundhedsreform","mia","parter","dan","coudledning","schweiz","grundlæggende","bare","arbejdsgiverne","forslaget","videregående","valgt","indvandrere"
"43","jakob","mandag","rejse","mennesker","gør","hjemmesiden","botilbud","dronningen","there","næste","frederiksen","mulighed","thomas","region","redegørelse","mafiaen","euro","brug","mere","rettighed","ordfører","prisen","virksomheder","verdens","aldrig","udgifter","økonomiske","jacob","flertal","facebook"
"44","jorden","danske","sager","store","hjem","brug","kan","skriv","years","folketinget","cepos","hjælpe","foreninger","mener","grundlag","undersøgt","europol","sygdomme","klima","mette","danskerne","fossile","tommy","godt","jesper","dennis","lauritzen","erhvervsuddannelserne","krarup","baggrund"
"45","ellemannjensen","besøg","årige","beboerne","føler","oplysninger","orlov","guld","countries","før","finansministeriets","andet","radio","millioner","dokumenter","sjældent","nordiske","ældreminister","verdensmålene","europol","elbæk","birch","forskning","bedre","fået","finansministeriet","kommer","elevernes","ordfører","henriksen"
"46","forbud","mette","ifølge","byerne","nok","kan","ikkevestlig","hvide","out","krav","finanser","værdi","allerede","socialdemokratiet","fremgår","stribe","udenrigsminister","patienten","internationale","ansat","liberal","dyhr","rigeste","aldrig","par","virksomhed","skatter","mål","bare","kvinden"
"47","produkter","respiratorer","mattias","bygge","familien","rådighedsbeløb","socialordfører","måske","most","politisk","økonomisk","tilsyn","nye","ved","aktindsigt","tjener","europas","sophie","styrke","arbejdsliv","mener","pia","niels","ingen","svar","overenskomst","afsat","frie","vermund","tørklæde"
"48","mere","styrelsen","soldater","landsbyggefonden","går","indsamler","siger","john","time","klart","råderum","kompensation","derfor","dyrevelfærdslov","regeringens","slog","premierminister","behandlingen","teknologi","frederiksen","sass","mener","universiteterne","nok","samråd","konflikt","skatteminister","kommuner","nej","ofre"
"49","kan","lukke","loven","større","mad","personen","mulighed","amerikanerne","some","forhandle","danmarks","trine","kunst","regeringen","notat","foran","holland","procent","att","nedslidning","thorningschmidt","parisaftalen","nordea","økonomiske","sige","administration","plan","studerende","politikere","kvinders"
"50","landmændene","åbning","siger","gang","sociale","tredjepart","indsatser","lille","these","pernille","velfærd","straffe","glæder","borgmester","adgang","lagde","ungarn","sundhedsvæsnet","regeringen","kontanthjælp","alternativet","klimaplan","svindel","fællesskab","mail","bankerne","hæve","voksne","sfs","muslimsk"
