party_short,party_full,party_grouping
S,Socialdemokratiet,S
V,Venstre,V
RV,Radikale Venstre,RV
DF,Dansk Folkeparti,DF
SF,Socialistisk Folkeparti,SF
KF,Det Konservative Folkeparti,KF
EL,Enhedslisten,EL
UFG,Uden for folketingsgrupperne,Misc
NB,Nye Borgerlige,Misc
LA,Liberal Alliance,Misc
IA,Inuit Ataqatigiit,Misc
SIU,Siumut,Misc
SP,Sambandsflokkurin,Misc
JF,Javnaрarflokkurin,Misc
ALT,Alternativet,Misc
