party_short,gini_abs,gini_norm,gini_centered,N_urls,rel_urls,size
DF,0.820632855965382,0.643402075087667,0.443068927778637,55,0.846153846153846,260566
EL,0.788591744616054,0.684002430648143,0.461441973347888,54,0.830769230769231,352207
KF,0.884627757352941,0.666424631484122,0.564233828180963,40,0.615384615384615,90676
LA,0.849299863387978,0.708022809974986,0.614821297194265,30,0.461538461538462,13827
RV,0.873975409836065,0.64090939396491,0.502561047192906,50,0.769230769230769,281555
S,0.824142684238838,0.59401680766737,0.377680603995052,55,0.846153846153846,527994
SF,0.856379661239496,0.590770932504918,0.48640588913324,46,0.707692307692308,310425
UFG,0.8731800997426,0.727276083137146,0.564535206850403,43,0.661538461538462,173712
V,0.809327456277549,0.645314005132298,0.414262604428037,56,0.861538461538462,424244
