url_core,insularity_media,N_url,max_party,N_party,rel_party
volksstimme,0.666529494738854,239,AfD,80,0.00216011880653436
schwarzwaelder-bote,0.662422448095576,65,CDU,34,0.000676994145991796
bundesfinanzministerium,0.660998012956749,63,CDU,23,0.000457966628170921
goettinger-tageblatt,0.65774523291678,87,GRÜNE,39,0.000815404879884589
infranken,0.656464072081896,53,CSU,6,0.000817438692098093
pnn,0.656230051539567,143,FDP,46,0.00122272135243614
change,0.653846429056581,282,LINKE,152,0.00273052257172113
rnz,0.650953054671163,161,SPD,89,0.001492612407131
katholisch,0.648945801569307,53,CDU,31,0.000617259368404285
badische-zeitung,0.637830883499074,317,CDU,153,0.00304647365696308
coe,0.634209449495419,64,LINKE,26,0.000467063071478614
schwaebische,0.626082204229154,172,GRÜNE,80,0.00167262539463505
ostsee-zeitung,0.625063378855414,132,FDP,41,0.00108981685760612
taz,0.623299103162605,2161,Misc.,30,0.0203252032520325
instagram,0.621337212605162,4537,SPD,2511,0.0421117949922015
mz-web,0.620841248401765,401,AfD,169,0.00456325097880383
allgemeine-zeitung,0.620202561675112,110,GRÜNE,43,0.000899036149616342
insuedthueringen,0.619070180934174,54,Misc.,1,0.000677506775067751
topagrar,0.61874446659253,149,FDP,55,0.00146194944313017
cnn,0.618674990584926,86,SPD,44,0.000737920740604089
evangelisch,0.614643020332795,77,GRÜNE,25,0.000522695435823454
nordkurier,0.614176186361081,172,AfD,94,0.00253813959767787
deutschlandfunkkultur,0.609795358074955,198,Misc.,5,0.00338753387533875
abendzeitung-muenchen,0.607264374831995,108,LINKE,63,0.00113172975012126
morgenweb,0.605974338720983,114,CDU,45,0.000896021663812672
finanzen,0.605932655452734,81,FDP,27,0.000717684272082082
twitpic,0.603600499648646,117,SPD,48,0.00080500444429537
westfalen-blatt,0.603251422945602,51,SPD,20,0.000335418518456404
weser-kurier,0.597621368754464,165,LINKE,75,0.00134729732157292
nw,0.596246734417002,104,SPD,43,0.000721149814681269
kurier,0.595547147548332,92,FDP,39,0.00103665505967412
twimg,0.592322889680802,60,CSU,5,0.000681198910081744
bnn,0.585192261013788,53,FDP,25,0.000664522474150076
web,0.584492563908173,79,AfD,40,0.00108005940326718
stimme,0.584294775447768,77,SPD,30,0.000503127777684606
saechsische,0.583990361920414,162,AfD,49,0.0013230727690023
openpetition,0.583219206226631,124,LINKE,62,0.00111376578583362
noz,0.581813282222454,307,GRÜNE,148,0.00309435698007485
radioeins,0.578309432615149,71,GRÜNE,24,0.000501787618390516
ga,0.575627700091127,117,GRÜNE,49,0.00102448305421397
swp,0.570271450156584,166,GRÜNE,68,0.0014217315854398
kn-online,0.56700433373159,103,SPD,47,0.000788233518372549
maz-online,0.562957502839003,304,CDU,122,0.0024292142885588
thueringer-allgemeine,0.562029118999161,171,CDU,64,0.00127434192186691
deutschlandradio,0.561774575037909,77,Misc.,3,0.00203252032520325
euractiv,0.561582718358419,111,GRÜNE,42,0.000878128332183403
un,0.558417595774589,56,SPD,21,0.000352189444379224
manager-magazin,0.557246252566202,75,Misc.,3,0.00203252032520325
abendblatt,0.556360013275966,401,FDP,128,0.00340235506764839
fr,0.55606875773131,850,GRÜNE,314,0.00656505467394259
bundesverfassungsgericht,0.555520199923133,62,GRÜNE,20,0.000418156348658764
soundcloud,0.555055534464498,119,LINKE,57,0.00102394596439542
express,0.553952424618943,93,AfD,24,0.000648035641960308
nzz,0.550357022292646,430,AfD,181,0.00488726879978399
derstandard,0.549627328344881,129,LINKE,61,0.00109580182154598
vice,0.546517380891993,67,LINKE,31,0.000556882892916809
deutsche-apotheker-zeitung,0.540922636828448,54,FDP,18,0.000478456181388055
