"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"40","seguridad","tres","morales","pruebas","económico","pago","seguridad","diálogo","votar","control","psdeg","mayores","corazón","dos","respuesta","inmigrantes","solo","escrito","dels","mensaje","lópez","precio","primaria","mayoría","edad","región","health","ventajas","stalin","instituto"
"41","homenaje","investigación","juan","pcr","valores","renta","baja","pactos","político","cualquier","eléctrico","camas","hombre","pagos","pandemia","islas","cierto","resolución","autodeterminación","ministra","cáncer","sociedades","colegio","votación","parejas","puig","there","debates","pensamiento","delito"
"42","familia","casa","paz","riesgo","ciudadanos","afectados","españa","iglesias","electorales","legal","anos","centro","aquel","compañía","sánchez","madrid","poder","penas","junqueras","preguntas","puede","fiscales","castellano","iglesias","diputada","valencia","when","socio","web","orden"
"43","odio","informado","embajada","confinamiento","mejor","días","según","mariano","socialista","parlamentario","pola","servicio","josé","financiación","von","norte","podemos","rebelión","octubre","pandemia","medidas","gobierno","docente","diálogo","delitos","diputados","most","demostrando","memoria","gámez"
"44","mitin","caso","española","informe","públicos","servicios","mercado","generales","política","garantizar","innovación","ancianos","carlos","director","millones","trenes","mucha","juzgado","joan","oposición","niveles","económico","escolares","grupos","leyes","gonzález","his","club","española","diligencias"
"45","banda","crimen","argentina","sanitarias","proyecto","ayuda","cifras","puede","resultados","puedan","pontevedra","rápidos","tras","documentos","consejo","agricultores","cree","artículo","cdr","rtve","efecto","públicas","pin","vasco","padres","antonio","spanish","eventos","democrática","teniente"
"46","manifestaciones","agresión","dijo","contagio","salud","ejecutivo","servicios","señalado","cataluña","tribunal","alberto","consejería","película","empresario","refugiados","mediterráneo","menos","hechos","república","ejecutivo","unidas","sector","tesis","abstención","machistas","diputada","what","puedes","mundo","franco"
"47","barcelona","interior","chile","italia","común","emergencia","mientras","líder","encuesta","iniciativa","diseño","falta","siglo","subvenciones","deuda","horas","veces","tribunales","mas","palabras","tierra","grandes","bachillerato","parlamentarios","denuncias","susana","some","restricciones","país","causa"
"48","vecinos","vecinos","armas","cifra","fuerzas","marzo","hogares","hacienda","comicios","ámbito","seu","unidades","hizo","importe","dinamarca","instalaciones","españoles","sedición","pdecat","psoe","mayor","rentas","actividades","diputado","ideología","alicante","how","informar","muerte","caso"
"49","lugar","vivienda","embajador","transmisión","pacto","prórroga","salarios","hacer","cis","público","sector","enfermos","pueblo","caja","economía","además","mundo","años","alcaldesa","tve","solo","incremento","parental","sesión","madres","provincial","she","complicado","socialismo","nacional"
"50","agentes","presunto","autoridades","china","convivencia","euros","periodo","plan","ahora","leyes","presidente","crisis","gracias","anticorrupción","británico","estación","político","acusación","nacionalismo","facebook","animal","económica","jóvenes","presidenta","libertad","luis","these","gestiona","solo","comandancia"
