party_short,col
Agir,#2B2C7C
DVG,#4c514a
FI,#E3000F
LR,#009EE0
LREM,#FFED00
MoDem,#EE7F00
PCF,#E3000F
PS,#FF69B4
RN,#000000
UDI,#40E0D0
